,AcresBurned,ArchiveYear,Counties,Extinguished,Location,Name,Started,Severity
604,20,2016,Lake,2016-08-31T07:05:00Z,"Off Hwy 29 & Mockingbird Lane, Upper Lake",Mockingbird Fire,2016-08-30T16:54:00Z,4.88E-05
605,20,2016,Ventura,2016-05-13T22:30:00Z,North of Ventura,Edison Fire,2016-05-12T14:13:00Z,4.88E-05
606,19,2016,Amador,2016-08-31T07:05:00Z,"Off Highway 124 & Willow Creek Rd, 4 miles east of Ione",Willow Fire,2016-08-30T16:52:00Z,4.63E-05
607,15,2016,Ventura,2016-07-12T10:30:00Z,"off Volcan Mountain, north of Julian",Shelter Fire,2016-07-11T12:58:00Z,3.66E-05
608,11,2016,Tehama,2016-07-26T19:25:00Z,"Off Collier Dr & Humboldt Dr, Rancho Tehama",Collier Fire,2016-07-25T16:55:00Z,2.68E-05
609,11,2016,Shasta,2016-05-25T20:00:00Z,"off Fiddler Rd and Straight Arrow Rd, 8 miles east of Ono",Fiddler Fire,2016-05-25T16:51:00Z,2.68E-05
610,10,2016,Tulare,2016-12-19T13:30:00Z,Jacobson Drainage in the Golden Trout Wilderness,Jacobson Fire,2016-10-20T17:00:00Z,2.44E-05
617,281893,2017,Santa Barbara,2019-03-14T11:24:00Z,"Hwy 150 and Hwy 126, north of Santa Paula ",Thomas Fire,2017-12-04T18:28:00Z,0.687207003
618,281893,2017,Ventura,2019-03-14T11:24:00Z,"Hwy 150 and Hwy 126, north of Santa Paula ",Thomas Fire,2017-12-04T18:28:00Z,0.687207003
619,83733,2017,Lassen,2018-01-09T11:52:00Z,"off Hwy 395 and Cowboy Joe Rd, 3 miles north of Doyle",Long Valley Fire,2017-07-11T14:15:00Z,0.204126757
620,83120,2017,Modoc,2018-01-09T12:05:00Z,throughout Modoc County,Modoc July Complex,2017-07-24T12:00:00Z,0.202632368
621,81826,2017,Mariposa,2018-01-09T11:57:00Z,"Detwiler Rd and Hunters Valley Rd, 2 miles east of Lake McClure",Detwiler Fire,2017-07-16T15:56:00Z,0.199477817
622,78698,2017,Siskiyou,2018-01-09T12:43:00Z,"5 miles W of Happy Camp, CA",Eclipse Complex,2017-08-15T07:55:00Z,0.191852287
623,56556,2017,Napa,2018-02-09T09:30:00Z,"Hwy 12, north of Glen Ellen",Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),2017-10-08T22:00:00Z,0.137873872
624,56556,2017,Sonoma,2018-02-09T09:30:00Z,"Hwy 12, north of Glen Ellen",Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex),2017-10-08T22:00:00Z,0.137873872
625,51624,2017,Napa,2018-02-09T09:37:00Z,"Off of Altas Peak Rd, south of Lake Berryessa",Atlas Fire (Southern LNU Complex),2017-10-08T21:52:00Z,0.125850498
